Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Product Metafield: custom.fragrance_family [single_line_text_field],Product Metafield: custom.concentration [single_line_text_field],Product Metafield: custom.scent_top [multi_line_text_field],Product Metafield: custom.scent_heart [multi_line_text_field],Product Metafield: custom.scent_base [multi_line_text_field],Product Metafield: custom.key_notes [single_line_text_field],Product Metafield: custom.olfactive_description [multi_line_text_field],Product Metafield: custom.inspiration [multi_line_text_field],Product Metafield: custom.about_the_name [multi_line_text_field],Product Metafield: custom.perfumer_signature [multi_line_text_field],Product Metafield: custom.longevity [single_line_text_field],Product Metafield: custom.sillage [single_line_text_field],Product Metafield: custom.best_season [single_line_text_field],Product Metafield: custom.best_occasion [single_line_text_field],Product Metafield: custom.gender [single_line_text_field],Product Metafield: custom.bottle_description [multi_line_text_field],Product Metafield: custom.ingredients_inci [multi_line_text_field],Product Metafield: custom.country_of_origin [single_line_text_field],Product Metafield: custom.pairs_well_with [single_line_text_field],Product Metafield: custom.notes_summary [single_line_text_field],Status
royale-oud,Royale Oud,"<p>Smoke and leather carved into oud. Royale opens with saffron and pink pepper, then deepens through Cambodian oud, smoked birchwood, and black leather — resolving in amber, patchouli, and tobacco leaf.</p><p>Eau de Parfum · 50 ml · Handcrafted in Parsippany, New Jersey.</p>",Musk de Lumière,Health & Beauty > Personal Care > Cosmetics > Fragrance,Eau de Parfum,"L'Arbre de Vie, Les Racines, Oud, Eau de Parfum, Niche Fragrance, Luxury Perfume, Unisex, Smoky, Leather, Evening, Royale Oud",TRUE,Size,50ml,,,,,MDL-LAV-RYL-50,240,shopify,0,deny,manual,165.00,,TRUE,TRUE,,,,,FALSE,Royale Oud — Eau de Parfum 50ml | Musk de Lumière,"Royale Oud Eau de Parfum — smoked Cambodian oud, saffron, and black leather. A signature from the L'Arbre de Vie collection by Musk de Lumière. 50 ml. Handcrafted in New Jersey.",Health & Beauty > Personal Care > Cosmetics > Fragrance,unisex,adult,MDL-LAV-RYL-50,new,FALSE,L'Arbre de Vie,Les Racines,Oud · Smoky Leather,Les Racines,Eau de Parfum,,g,,,Oriental Oud — Smoky Leather,Eau de Parfum,"Saffron, Bergamot, Pink Pepper","Cambodian Oud, Smoked Birchwood, Black Leather","Amber, Patchouli, Tobacco Leaf",Oud · Leather · Smoke,"Royale opens sharp and saffron-bright, then deepens into the smoke of burning birch and the leather of an old library chair. The base is patchouli warmed by amber and the dry sweetness of tobacco.",,,,8–12 hours,Strong,Autumn · Winter,Evening · Cold Weather · Special Occasions,unisex,50 ml black-frosted glass with a brushed gold collar. The bottle absorbs light — an architectural object as much as a fragrance.,"Alcohol Denat. (40B), Parfum (Fragrance), Aqua (Water). Allergens may include: Limonene, Linalool, Citronellol, Geraniol, Citral, Coumarin, Eugenol, Isoeugenol, Benzyl Benzoate, Farnesol, Benzyl Salicylate, Hydroxycitronellal, Benzyl Alcohol.","Made in Parsippany, New Jersey · USA",Layer with Chérie Oud for sweetness · Sultanat Oud for powdered depth.,"Saffron, Cambodian Oud, Smoked Birch, Leather, Amber, Tobacco",draft
cherie-oud,Chérie Oud,"<p>Sweetness held in the warmth of oud. Bergamot and cardamom give way to Indonesian oud, tonka bean, and vanilla orchid — resolving in bourbon vanilla, sandalwood, and benzoin.</p><p>Eau de Parfum · 50 ml · Handcrafted in Parsippany, New Jersey.</p>",Musk de Lumière,Health & Beauty > Personal Care > Cosmetics > Fragrance,Eau de Parfum,"L'Arbre de Vie, Les Racines, Oud, Eau de Parfum, Gourmand, Vanilla, Niche Fragrance, Luxury Perfume, Unisex, Chérie Oud",TRUE,Size,50ml,,,,,MDL-LAV-CHR-50,240,shopify,0,deny,manual,165.00,,TRUE,TRUE,,,,,FALSE,Chérie Oud — Eau de Parfum 50ml | Musk de Lumière,"Chérie Oud Eau de Parfum — Indonesian oud, bourbon vanilla, tonka, and sandalwood. A gourmand oud from L'Arbre de Vie by Musk de Lumière. 50 ml.",Health & Beauty > Personal Care > Cosmetics > Fragrance,unisex,adult,MDL-LAV-CHR-50,new,FALSE,L'Arbre de Vie,Les Racines,Oud · Gourmand,Les Racines,Eau de Parfum,,g,,,Oriental Gourmand Oud,Eau de Parfum,"Bergamot, Pink Pepper, Cardamom","Indonesian Oud, Tonka Bean, Vanilla Orchid","Bourbon Vanilla, Sandalwood, Benzoin",Oud · Vanilla · Tonka,"Chérie is the warmest oud in the line. The smoke is gentled by vanilla orchid and tonka — not dessert-sweet, but skin-sweet. A fragrance that makes someone lean closer.",,,,8–10 hours,Moderate to Strong,Year-round · Intensifies in cold,Date Night · Intimate Settings · Cold Weather,unisex,50 ml black-frosted glass with a brushed gold collar.,"Alcohol Denat. (40B), Parfum (Fragrance), Aqua (Water). Allergens may include: Limonene, Linalool, Citronellol, Geraniol, Citral, Coumarin, Eugenol, Isoeugenol, Benzyl Benzoate, Farnesol, Benzyl Salicylate, Hydroxycitronellal, Benzyl Alcohol.","Made in Parsippany, New Jersey · USA","Layer over Royale Oud to soften the smoke, or wear alone.","Bergamot, Cardamom, Indonesian Oud, Tonka, Bourbon Vanilla, Sandalwood",draft
sultanat-oud,Sultanat Oud,"<p>Powder over silk over leather. Iris pallida and pink pepper open into Hindi oud cradled by amberwood and rose — settling on powdered iris, sandalwood, and white musk. The most ceremonial of the Roots.</p><p>Eau de Parfum · 50 ml · Handcrafted in Parsippany, New Jersey.</p>",Musk de Lumière,Health & Beauty > Personal Care > Cosmetics > Fragrance,Eau de Parfum,"L'Arbre de Vie, Les Racines, Oud, Iris, Powdery, Eau de Parfum, Niche Fragrance, Luxury Perfume, Unisex, Sultanat Oud",TRUE,Size,50ml,,,,,MDL-LAV-SLT-50,240,shopify,0,deny,manual,165.00,,TRUE,TRUE,,,,,FALSE,Sultanat Oud — Eau de Parfum 50ml | Musk de Lumière,"Sultanat Oud Eau de Parfum — Hindi oud, iris pallida, amberwood, and rose. Powdered oud from L'Arbre de Vie by Musk de Lumière. 50 ml.",Health & Beauty > Personal Care > Cosmetics > Fragrance,unisex,adult,MDL-LAV-SLT-50,new,FALSE,L'Arbre de Vie,Les Racines,Oud · Powdered Amber,Les Racines,Eau de Parfum,,g,,,Oriental Oud — Powdery Amber,Eau de Parfum,"Iris Pallida, Pink Pepper, Bergamot","Hindi Oud, Amberwood, Damask Rose","Powdered Iris, Sandalwood, White Musk",Oud · Iris · Amberwood,Sultanat smells like a room in which oud and iris have been burned together for a very long time. No sharpness — only the velvet that comes after the smoke clears.,,,,10+ hours,Strong,Autumn · Winter · Cool Spring,Formal Events · Cool Evenings · Ceremonial Wear,unisex,50 ml black-frosted glass with a brushed gold collar.,"Alcohol Denat. (40B), Parfum (Fragrance), Aqua (Water). Allergens may include: Limonene, Linalool, Citronellol, Geraniol, Citral, Coumarin, Eugenol, Isoeugenol, Benzyl Benzoate, Farnesol, Benzyl Salicylate, Hydroxycitronellal, Benzyl Alcohol.","Made in Parsippany, New Jersey · USA",Devastating layer with Impériale Oud — rose and powder doubled.,"Iris Pallida, Hindi Oud, Amberwood, Rose, Sandalwood, White Musk",draft
imperiale-oud,Impériale Oud,"<p>A rose that does not whisper. Damask and Bulgarian roses open over Turkish rose absolute, Cambodian oud, and saffron — resolving in patchouli, oud wood, and bourbon vanilla.</p><p>Eau de Parfum · 50 ml · Handcrafted in Parsippany, New Jersey.</p>",Musk de Lumière,Health & Beauty > Personal Care > Cosmetics > Fragrance,Eau de Parfum,"L'Arbre de Vie, Les Racines, Oud, Rose, Damask Rose, Eau de Parfum, Niche Fragrance, Luxury Perfume, Unisex, Impériale Oud",TRUE,Size,50ml,,,,,MDL-LAV-IMP-50,240,shopify,0,deny,manual,165.00,,TRUE,TRUE,,,,,FALSE,Impériale Oud — Eau de Parfum 50ml | Musk de Lumière,"Impériale Oud Eau de Parfum — Turkish rose absolute, Cambodian oud, saffron, and patchouli. The rose oud of L'Arbre de Vie. 50 ml.",Health & Beauty > Personal Care > Cosmetics > Fragrance,unisex,adult,MDL-LAV-IMP-50,new,FALSE,L'Arbre de Vie,Les Racines,Oud · Rose,Les Racines,Eau de Parfum,,g,,,Oriental Rose Oud,Eau de Parfum,"Damask Rose, Bulgarian Rose, Pink Pepper","Turkish Rose Absolute, Cambodian Oud, Saffron","Patchouli, Oud Wood, Bourbon Vanilla",Rose · Oud · Saffron,Three roses braided together over the body of an oud. Saffron threads it gold. Patchouli holds the floor. A rose that walks into a room and takes it.,,,,10+ hours,Very Strong,Autumn · Winter · Spring,Weddings · Galas · Statement Wear,unisex,50 ml black-frosted glass with a brushed gold collar.,"Alcohol Denat. (40B), Parfum (Fragrance), Aqua (Water). Allergens may include: Limonene, Linalool, Citronellol, Geraniol, Citral, Coumarin, Eugenol, Isoeugenol, Benzyl Benzoate, Farnesol, Benzyl Salicylate, Hydroxycitronellal, Benzyl Alcohol.","Made in Parsippany, New Jersey · USA","Layered with Sultanat Oud — the rose softens, the powder deepens.","Damask Rose, Bulgarian Rose, Turkish Rose Absolute, Cambodian Oud, Saffron, Patchouli, Vanilla",draft
paradis-de-bleu,Paradis de Bleu,"<p>An ocean held in glass. Sea salt and Calabrian bergamot break against iris, lily of the valley, and white cedar — closing on driftwood, ambergris, and white musk. Clean. Vast. Slightly cold.</p><p>Eau de Parfum · 50 ml · Handcrafted in Parsippany, New Jersey.</p>",Musk de Lumière,Health & Beauty > Personal Care > Cosmetics > Fragrance,Eau de Parfum,"L'Arbre de Vie, Les Branches, Aquatic, Floral, Marine, Iris, Eau de Parfum, Niche Fragrance, Luxury Perfume, Unisex, Paradis de Bleu",TRUE,Size,50ml,,,,,MDL-LAV-PDB-50,240,shopify,0,deny,manual,165.00,,TRUE,TRUE,,,,,FALSE,Paradis de Bleu — Eau de Parfum 50ml | Musk de Lumière,"Paradis de Bleu Eau de Parfum — sea salt, iris, driftwood, ambergris. The aquatic floral of L'Arbre de Vie. 50 ml. Unisex niche fragrance.",Health & Beauty > Personal Care > Cosmetics > Fragrance,unisex,adult,MDL-LAV-PDB-50,new,FALSE,L'Arbre de Vie,Les Branches,Aquatic Floral,Les Branches,Eau de Parfum,,g,,,Aquatic Floral — Marine Iris,Eau de Parfum,"Sea Salt, Calabrian Bergamot, Marine Accord","Iris, Lily of the Valley, White Cedar","Driftwood, Ambergris, White Musk",Aquatic · Salt · Iris,Paradis is what salt smells like before it dries — that interval where air is heavy with water and cold light. Iris keeps it from being just a beach scent. Driftwood gives it a body.,,,,6–8 hours,Moderate,Spring · Summer · Year-round,Daytime · Travel · Warm Weather,unisex,50 ml black-frosted glass with a brushed gold collar.,"Alcohol Denat. (40B), Parfum (Fragrance), Aqua (Water). Allergens may include: Limonene, Linalool, Citronellol, Geraniol, Citral, Coumarin, Eugenol, Isoeugenol, Benzyl Benzoate, Farnesol, Benzyl Salicylate, Hydroxycitronellal, Benzyl Alcohol.","Made in Parsippany, New Jersey · USA",Wears beautifully alone · Layer with Néroli de Nuit for brighter floral edge.,"Sea Salt, Bergamot, Iris, Lily of the Valley, Driftwood, Ambergris, White Musk",draft
neroli-de-nuit,Néroli de Nuit,"<p>Néroli that does not fade with the sun. Tunisian néroli with bergamot and petitgrain, opening into orange blossom absolute, jasmine sambac, and honeyed magnolia — resolving in white musk, cedarwood, and tonka.</p><p>Eau de Parfum · 50 ml · Handcrafted in Parsippany, New Jersey.</p>",Musk de Lumière,Health & Beauty > Personal Care > Cosmetics > Fragrance,Eau de Parfum,"L'Arbre de Vie, Les Branches, Floral, Citrus, Neroli, Orange Blossom, Eau de Parfum, Niche Fragrance, Luxury Perfume, Unisex, Néroli de Nuit",TRUE,Size,50ml,,,,,MDL-LAV-NDN-50,240,shopify,0,deny,manual,165.00,,TRUE,TRUE,,,,,FALSE,Néroli de Nuit — Eau de Parfum 50ml | Musk de Lumière,"Néroli de Nuit Eau de Parfum — Tunisian néroli, orange blossom absolute, jasmine sambac, white musk. From L'Arbre de Vie. 50 ml.",Health & Beauty > Personal Care > Cosmetics > Fragrance,unisex,adult,MDL-LAV-NDN-50,new,FALSE,L'Arbre de Vie,Les Branches,Floral Citrus · Néroli,Les Branches,Eau de Parfum,,g,,,Floral Citrus — White Florals at Dusk,Eau de Parfum,"Tunisian Néroli, Bergamot, Petitgrain","Orange Blossom Absolute, Jasmine Sambac, Honeyed Magnolia","White Musk, Cedarwood, Tonka Bean",Néroli · Orange Blossom · White Musk,"Most néroli scents are bright and brief. This one is dimmed deliberately — petitgrain gives it green shadow, tonka anchors the warmth, white musk holds it on skin past midnight.",,,,7–9 hours,Moderate,Spring · Summer · Warm Evenings,Evening · Dinner · Date · Warm Weather,unisex,50 ml black-frosted glass with a brushed gold collar.,"Alcohol Denat. (40B), Parfum (Fragrance), Aqua (Water). Allergens may include: Limonene, Linalool, Citronellol, Geraniol, Citral, Coumarin, Eugenol, Isoeugenol, Benzyl Benzoate, Farnesol, Benzyl Salicylate, Hydroxycitronellal, Benzyl Alcohol.","Made in Parsippany, New Jersey · USA",Beautiful layered with Rosée Blanche for a wedding-white powder accord.,"Tunisian Néroli, Bergamot, Orange Blossom Absolute, Jasmine Sambac, Magnolia, White Musk, Tonka",draft
hayal,Hayal,"<p>A dream that lingers after waking. Saffron and pink pepper open over pear and Bulgarian rose — dropping into heliotrope, honeyed magnolia, and a warm base of amber, bourbon vanilla, and white musk.</p><p>Eau de Parfum · 50 ml · Handcrafted in Parsippany, New Jersey.</p>",Musk de Lumière,Health & Beauty > Personal Care > Cosmetics > Fragrance,Eau de Parfum,"L'Arbre de Vie, Les Branches, Floral, Saffron, Amber, Eau de Parfum, Niche Fragrance, Luxury Perfume, Unisex, Hayal",TRUE,Size,50ml,,,,,MDL-LAV-HYL-50,240,shopify,0,deny,manual,165.00,,TRUE,TRUE,,,,,FALSE,Hayal — Eau de Parfum 50ml | Musk de Lumière,"Hayal Eau de Parfum — saffron, rose, heliotrope, amber, and vanilla. The dream of L'Arbre de Vie by Musk de Lumière. 50 ml.",Health & Beauty > Personal Care > Cosmetics > Fragrance,unisex,adult,MDL-LAV-HYL-50,new,FALSE,L'Arbre de Vie,Les Branches,Oriental Floral · Saffron Rose,Les Branches,Eau de Parfum,,g,,,Oriental Floral — Saffron Amber,Eau de Parfum,"Saffron, Pink Pepper, Pear","Bulgarian Rose, Heliotrope, Honeyed Magnolia","Amber, Bourbon Vanilla, White Musk",Saffron · Rose · Amber,"Hayal is the in-between scent — soft enough for the day, warm enough for the night. Saffron at the top gives it a thread of gold. The base is amber held in vanilla.",,,,7–9 hours,Moderate,Spring · Autumn · Year-round,Everyday Luxury · Daytime · Soft Evenings,unisex,50 ml black-frosted glass with a brushed gold collar.,"Alcohol Denat. (40B), Parfum (Fragrance), Aqua (Water). Allergens may include: Limonene, Linalool, Citronellol, Geraniol, Citral, Coumarin, Eugenol, Isoeugenol, Benzyl Benzoate, Farnesol, Benzyl Salicylate, Hydroxycitronellal, Benzyl Alcohol.","Made in Parsippany, New Jersey · USA",Layer with Chérie Oud for a warmer gourmand drydown.,"Saffron, Pear, Bulgarian Rose, Heliotrope, Magnolia, Amber, Vanilla, White Musk",draft
rosee-blanche,Rosée Blanche,"<p>Morning. Stillness. Skin. Lychee, bergamot, and aldehydes open clean as cold water — white rose, magnolia, and powdered iris at the heart — white musk, sandalwood, and cashmere wood at the base. A second-skin floral.</p><p>Eau de Parfum · 50 ml · Handcrafted in Parsippany, New Jersey.</p>",Musk de Lumière,Health & Beauty > Personal Care > Cosmetics > Fragrance,Eau de Parfum,"L'Arbre de Vie, Les Branches, White Floral, Rose, Powder, Eau de Parfum, Niche Fragrance, Luxury Perfume, Unisex, Skin Scent, Rosée Blanche",TRUE,Size,50ml,,,,,MDL-LAV-RBL-50,240,shopify,0,deny,manual,165.00,,TRUE,TRUE,,,,,FALSE,Rosée Blanche — Eau de Parfum 50ml | Musk de Lumière,"Rosée Blanche Eau de Parfum — white rose, magnolia, powdered iris, white musk, and cashmere wood. The skin-scent of L'Arbre de Vie. 50 ml.",Health & Beauty > Personal Care > Cosmetics > Fragrance,unisex,adult,MDL-LAV-RBL-50,new,FALSE,L'Arbre de Vie,Les Branches,White Floral · Skin Scent,Les Branches,Eau de Parfum,,g,,,White Floral — Powdery Musk,Eau de Parfum,"Lychee, Bergamot, Aldehydes","White Rose, Magnolia, Iris Powder","White Musk, Sandalwood, Cashmere Wood",White Rose · Iris · Cashmere Musk,"A second-skin scent — the kind of fragrance someone has to be close to notice. Cashmere wood is the secret: it makes the whole composition feel like worn linen, soft and intimate.",,,,5–7 hours,Soft · Intimate,Year-round,Daily Wear · Office · Morning · Skin-Scent Layering,unisex,50 ml black-frosted glass with a brushed gold collar.,"Alcohol Denat. (40B), Parfum (Fragrance), Aqua (Water). Allergens may include: Limonene, Linalool, Citronellol, Geraniol, Citral, Coumarin, Eugenol, Isoeugenol, Benzyl Benzoate, Farnesol, Benzyl Salicylate, Hydroxycitronellal, Benzyl Alcohol.","Made in Parsippany, New Jersey · USA",Perfect base layer beneath any of the four Roots — softens the smoke.,"Lychee, Bergamot, White Rose, Magnolia, Iris, White Musk, Sandalwood, Cashmere Wood",draft
discovery-set-larbre-de-vie,Discovery Set — L'Arbre de Vie,"<p>Eight signatures, in miniature. The L'Arbre de Vie Discovery Set holds all four Roots and all four Branches as 2.5 ml travel sprays — presented in a Maison-stamped black coffret.</p><p>Royale Oud · Chérie Oud · Sultanat Oud · Impériale Oud · Paradis de Bleu · Néroli de Nuit · Hayal · Rosée Blanche.</p><p>8 × 2.5 ml · Handcrafted in Parsippany, New Jersey.</p>",Musk de Lumière,Health & Beauty > Personal Care > Cosmetics > Fragrance,Discovery Set,"L'Arbre de Vie, Discovery Set, Coffret, Sample Set, Travel Spray, Niche Fragrance, Luxury Perfume, Unisex, Gift",TRUE,Size,8 × 2.5ml,,,,,MDL-LAV-DISC-8X25,180,shopify,0,deny,manual,60.00,,TRUE,TRUE,,,,,FALSE,L'Arbre de Vie Discovery Set — 8 × 2.5ml Travel Sprays | Musk de Lumière,"The L'Arbre de Vie Discovery Set — eight 2.5 ml travel sprays in a Maison-stamped coffret. Royale Oud, Chérie Oud, Hayal, Rosée Blanche, and more. The complete collection, sized for discovery.",Health & Beauty > Personal Care > Cosmetics > Fragrance,unisex,adult,MDL-LAV-DISC-8X25,new,FALSE,L'Arbre de Vie,Discovery,Coffret · Gift Set,L'Arbre de Vie,Discovery Set,,g,,,Discovery Coffret — Full Collection,Discovery Set,—,—,—,All Eight L'Arbre de Vie Signatures,The complete olfactory architecture of L'Arbre de Vie — from the smoke of the Roots to the light of the Branches — sized for travel and discovery.,Built for the ritual of discovery. Each 2.5 ml is enough to live with a fragrance for two weeks — long enough to know if it belongs to you.,,,Varies by fragrance,Varies by fragrance,All seasons represented,Discovery · Travel · Gifting,unisex,Eight 2.5 ml black-frosted spray vials presented in a Maison-stamped matte black coffret with brushed gold detailing.,"Alcohol Denat. (40B), Parfum (Fragrance), Aqua (Water). Allergens may include: Limonene, Linalool, Citronellol, Geraniol, Citral, Coumarin, Eugenol, Isoeugenol, Benzyl Benzoate, Farnesol, Benzyl Salicylate, Hydroxycitronellal, Benzyl Alcohol.","Made in Parsippany, New Jersey · USA",The recommended starting point for new customers of the Maison.,"Royale Oud, Chérie Oud, Sultanat Oud, Impériale Oud, Paradis de Bleu, Néroli de Nuit, Hayal, Rosée Blanche",draft
prism,Prism,"<p>Eau de Parfum from Les Essentials. Available in 10 ml and 100 ml.</p><p>Handcrafted in Parsippany, New Jersey.</p>",Musk de Lumière,Health & Beauty > Personal Care > Cosmetics > Fragrance,Eau de Parfum,"Les Essentials, Eau de Parfum, Everyday Fragrance, Niche Fragrance, Luxury Perfume, Unisex, Prism",TRUE,Size,10ml,,,,,MDL-ESS-PRS-10,80,shopify,0,deny,manual,20.00,,TRUE,TRUE,,,,,FALSE,Prism — Eau de Parfum | Les Essentials by Musk de Lumière,Prism Eau de Parfum — an everyday signature from Les Essentials by Musk de Lumière. Available in 10 ml and 100 ml.,Health & Beauty > Personal Care > Cosmetics > Fragrance,unisex,adult,MDL-ESS-PRS,new,FALSE,Les Essentials,Everyday,Prism,Les Essentials,Eau de Parfum,,g,,,,Eau de Parfum,,,,,,,,,,,,,unisex,Frosted glass with a brushed gold collar. Available in 10 ml travel and 100 ml full size.,"Alcohol Denat. (40B), Parfum (Fragrance), Aqua (Water). Allergens may include: Limonene, Linalool, Citronellol, Geraniol, Citral, Coumarin, Eugenol, Isoeugenol, Benzyl Benzoate, Farnesol, Benzyl Salicylate, Hydroxycitronellal, Benzyl Alcohol.","Made in Parsippany, New Jersey · USA",,,draft
prism,,,,,,,,Size,100ml,,,,,MDL-ESS-PRS-100,320,shopify,0,deny,manual,80.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,
bel-homme,Bel Homme,"<p>Eau de Parfum from Les Essentials. Available in 10 ml and 100 ml.</p><p>Handcrafted in Parsippany, New Jersey.</p>",Musk de Lumière,Health & Beauty > Personal Care > Cosmetics > Fragrance,Eau de Parfum,"Les Essentials, Eau de Parfum, Everyday Fragrance, Masculine, Niche Fragrance, Luxury Perfume, Bel Homme",TRUE,Size,10ml,,,,,MDL-ESS-BHM-10,80,shopify,0,deny,manual,20.00,,TRUE,TRUE,,,,,FALSE,Bel Homme — Eau de Parfum | Les Essentials by Musk de Lumière,Bel Homme Eau de Parfum — an everyday signature from Les Essentials by Musk de Lumière. Available in 10 ml and 100 ml.,Health & Beauty > Personal Care > Cosmetics > Fragrance,male,adult,MDL-ESS-BHM,new,FALSE,Les Essentials,Everyday,Bel Homme,Les Essentials,Eau de Parfum,,g,,,,Eau de Parfum,,,,,,,,,,,,,male,Frosted glass with a brushed gold collar. Available in 10 ml travel and 100 ml full size.,"Alcohol Denat. (40B), Parfum (Fragrance), Aqua (Water). Allergens may include: Limonene, Linalool, Citronellol, Geraniol, Citral, Coumarin, Eugenol, Isoeugenol, Benzyl Benzoate, Farnesol, Benzyl Salicylate, Hydroxycitronellal, Benzyl Alcohol.","Made in Parsippany, New Jersey · USA",,,draft
bel-homme,,,,,,,,Size,100ml,,,,,MDL-ESS-BHM-100,320,shopify,0,deny,manual,80.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,
madam-alece,Madam Alece,"<p>Eau de Parfum from Les Essentials. Available in 10 ml and 100 ml.</p><p>Handcrafted in Parsippany, New Jersey.</p>",Musk de Lumière,Health & Beauty > Personal Care > Cosmetics > Fragrance,Eau de Parfum,"Les Essentials, Eau de Parfum, Everyday Fragrance, Feminine, Niche Fragrance, Luxury Perfume, Madam Alece",TRUE,Size,10ml,,,,,MDL-ESS-MAL-10,80,shopify,0,deny,manual,20.00,,TRUE,TRUE,,,,,FALSE,Madam Alece — Eau de Parfum | Les Essentials by Musk de Lumière,Madam Alece Eau de Parfum — an everyday signature from Les Essentials by Musk de Lumière. Available in 10 ml and 100 ml.,Health & Beauty > Personal Care > Cosmetics > Fragrance,female,adult,MDL-ESS-MAL,new,FALSE,Les Essentials,Everyday,Madam Alece,Les Essentials,Eau de Parfum,,g,,,,Eau de Parfum,,,,,,,,,,,,,female,Frosted glass with a brushed gold collar. Available in 10 ml travel and 100 ml full size.,"Alcohol Denat. (40B), Parfum (Fragrance), Aqua (Water). Allergens may include: Limonene, Linalool, Citronellol, Geraniol, Citral, Coumarin, Eugenol, Isoeugenol, Benzyl Benzoate, Farnesol, Benzyl Salicylate, Hydroxycitronellal, Benzyl Alcohol.","Made in Parsippany, New Jersey · USA",,,draft
madam-alece,,,,,,,,Size,100ml,,,,,MDL-ESS-MAL-100,320,shopify,0,deny,manual,80.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,
fleur-rouge,Fleur Rouge,"<p>Eau de Parfum from Les Essentials. Available in 10 ml and 100 ml.</p><p>Handcrafted in Parsippany, New Jersey.</p>",Musk de Lumière,Health & Beauty > Personal Care > Cosmetics > Fragrance,Eau de Parfum,"Les Essentials, Eau de Parfum, Everyday Fragrance, Feminine, Floral, Niche Fragrance, Luxury Perfume, Fleur Rouge",TRUE,Size,10ml,,,,,MDL-ESS-FRG-10,80,shopify,0,deny,manual,20.00,,TRUE,TRUE,,,,,FALSE,Fleur Rouge — Eau de Parfum | Les Essentials by Musk de Lumière,Fleur Rouge Eau de Parfum — an everyday signature from Les Essentials by Musk de Lumière. Available in 10 ml and 100 ml.,Health & Beauty > Personal Care > Cosmetics > Fragrance,female,adult,MDL-ESS-FRG,new,FALSE,Les Essentials,Everyday,Fleur Rouge,Les Essentials,Eau de Parfum,,g,,,,Eau de Parfum,,,,,,,,,,,,,female,Frosted glass with a brushed gold collar. Available in 10 ml travel and 100 ml full size.,"Alcohol Denat. (40B), Parfum (Fragrance), Aqua (Water). Allergens may include: Limonene, Linalool, Citronellol, Geraniol, Citral, Coumarin, Eugenol, Isoeugenol, Benzyl Benzoate, Farnesol, Benzyl Salicylate, Hydroxycitronellal, Benzyl Alcohol.","Made in Parsippany, New Jersey · USA",,,draft
fleur-rouge,,,,,,,,Size,100ml,,,,,MDL-ESS-FRG-100,320,shopify,0,deny,manual,80.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,
les-essentials-bundle,Les Essentials — Quartet,"<p><strong>Coming Soon.</strong></p><p>All four Les Essentials signatures together — Prism, Bel Homme, Madam Alece, and Fleur Rouge — in 10 ml travel sprays. One bundle. One price.</p><p>4 × 10 ml · Handcrafted in Parsippany, New Jersey.</p>",Musk de Lumière,Health & Beauty > Personal Care > Cosmetics > Fragrance,Bundle,"Les Essentials, Bundle, Quartet, Travel Spray, Coming Soon, Niche Fragrance, Luxury Perfume, Unisex, Gift",FALSE,Size,4 × 10ml,,,,,MDL-ESS-BUNDLE-4X10,320,shopify,0,deny,manual,60.00,,TRUE,TRUE,,,,,FALSE,Les Essentials Quartet — Coming Soon | Musk de Lumière,"The Les Essentials Quartet — all four signatures in 10 ml travel sprays. Prism, Bel Homme, Madam Alece, Fleur Rouge. Coming soon from Musk de Lumière.",Health & Beauty > Personal Care > Cosmetics > Fragrance,unisex,adult,MDL-ESS-BUNDLE-4X10,new,FALSE,Les Essentials,Bundle,Coming Soon,Les Essentials,Bundle,,g,,,Les Essentials Quartet — Coming Soon,Bundle,—,—,—,All Four Les Essentials Signatures,,,,,Varies by fragrance,Varies by fragrance,All seasons represented,Everyday · Travel · Discovery,unisex,"Four 10 ml black-frosted spray vials, Les Essentials packaging. Launch date announced soon via Le Cercle Privé.","Alcohol Denat. (40B), Parfum (Fragrance), Aqua (Water). Allergens may include: Limonene, Linalool, Citronellol, Geraniol, Citral, Coumarin, Eugenol, Isoeugenol, Benzyl Benzoate, Farnesol, Benzyl Salicylate, Hydroxycitronellal, Benzyl Alcohol.","Made in Parsippany, New Jersey · USA",,Prism · Bel Homme · Madam Alece · Fleur Rouge,draft
